Method Name,Flow ID,Flow Name,Category,Subcategory,Unit,Impact Factor
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2439,2-Aminopropanol,water,,kilogram,61.7
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2437,2-Aminopropanol,water,ocean,kilogram,7.79e-07
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2438,2-Aminopropanol,water,surface water,kilogram,61.7
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2435,2-Aminopropanol,water,ground-,kilogram,0
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2436,2-Aminopropanol,water,"ground-, long-term",kilogram,0
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1017,2-Methyl-1-propanol,air,,kilogram,0.173
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1014,2-Methyl-1-propanol,air,non-urban air or from high stacks,kilogram,0.172
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1015,2-Methyl-1-propanol,air,"low population density, long-term",kilogram,0.172
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",7,2-Methyl-1-propanol,air,urban air close to ground,kilogram,0.174
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1016,2-Methyl-1-propanol,air,lower stratosphere + upper troposphere,kilogram,0.172
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2444,2-Methyl-1-propanol,water,,kilogram,8.58
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2442,2-Methyl-1-propanol,water,ocean,kilogram,0.00285
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2443,2-Methyl-1-propanol,water,surface water,kilogram,8.58
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2440,2-Methyl-1-propanol,water,ground-,kilogram,0
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2441,2-Methyl-1-propanol,water,"ground-, long-term",kilogram,0
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",4063,2-Phenylphenol,soil,agricultural,kilogram,16.1
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1029,2-Propanol,air,,kilogram,0.0676
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1026,2-Propanol,air,non-urban air or from high stacks,kilogram,0.0672
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1027,2-Propanol,air,"low population density, long-term",kilogram,0.0672
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",10,2-Propanol,air,urban air close to ground,kilogram,0.068
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1028,2-Propanol,air,lower stratosphere + upper troposphere,kilogram,0.0672
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2454,2-Propanol,water,,kilogram,2.47
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2452,2-Propanol,water,ocean,kilogram,0.00102
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2453,2-Propanol,water,surface water,kilogram,2.47
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2450,2-Propanol,water,ground-,kilogram,0
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2451,2-Propanol,water,"ground-, long-term",kilogram,0
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",4027,2-chlorobenzaldehyde,water,,kilogram,1800.0
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1033,3-Methyl-1-butanol,air,,kilogram,0.23
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1030,3-Methyl-1-butanol,air,non-urban air or from high stacks,kilogram,0.229
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1031,3-Methyl-1-butanol,air,"low population density, long-term",kilogram,0.229
