Method Name,Type,Category,Flow ID,Flow Name,Category.1,Subcategory,Unit,Impact Factor
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),2884,"Ethane, hexachloro-",water,ocean,kilogram,5.54072607285623e-06
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),2885,"Ethane, hexachloro-",water,surface water,kilogram,7.52246273859748e-06
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),269,"Ethane, hexachloro-",water,ground-,kilogram,0.0
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),2883,"Ethane, hexachloro-",water,"ground-, long-term",kilogram,0.0
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),1469,"Ethene, tetrachloro-",air,,kilogram,4.89933402412856e-07
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),1466,"Ethene, tetrachloro-",air,non-urban air or from high stacks,kilogram,4.90078283706584e-07
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),1467,"Ethene, tetrachloro-",air,"low population density, long-term",kilogram,4.90078283706584e-07
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),275,"Ethene, tetrachloro-",air,urban air close to ground,kilogram,4.89788521119129e-07
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),1468,"Ethene, tetrachloro-",air,lower stratosphere + upper troposphere,kilogram,4.90078283706584e-07
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),2906,"Ethene, tetrachloro-",water,,kilogram,3.63270597313977e-07
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),2904,"Ethene, tetrachloro-",water,ocean,kilogram,2.64336756419324e-07
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),2905,"Ethene, tetrachloro-",water,surface water,kilogram,4.62204438208629e-07
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),2902,"Ethene, tetrachloro-",water,ground-,kilogram,0.0
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),2903,"Ethene, tetrachloro-",water,"ground-, long-term",kilogram,0.0
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3979,Ethephon,air,non-urban air or from high stacks,kilogram,2.78421384759485e-08
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),277,Ethephon,soil,agricultural,kilogram,1.832502466144e-11
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3981,Ethephon,water,surface water,kilogram,1.09336750890835e-10
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3980,Ethephon,water,ground-,kilogram,0.0
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),4115,Ethiofencarb,soil,agricultural,kilogram,3.71951186287127e-12
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),279,Ethoprop,soil,agricultural,kilogram,1.3788196512855e-08
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),1477,Ethyl acetate,air,,kilogram,2.2802406061522002e-10
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),1474,Ethyl acetate,air,non-urban air or from high stacks,kilogram,2.28695670389025e-10
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),1475,Ethyl acetate,air,"low population density, long-term",kilogram,2.28695670389025e-10
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),280,Ethyl acetate,air,urban air close to ground,kilogram,2.2735245084141401e-10
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),1476,Ethyl acetate,air,lower stratosphere + upper troposphere,kilogram,2.28695670389025e-10
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),2916,Ethyl acetate,water,,kilogram,8.378163873149909e-11
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),2914,Ethyl acetate,water,ocean,kilogram,2.58212770994548e-11
